"","x1","x2","x3","x4","x5","x6","x7","x8","Mth.No","Month"
"3",116,259,426,453,147,238,166,319,3,3
"4",89,213,379,355,124,176,124,263,4,4
"5",129,428,495,454,125,179,187,214,5,5
"6",141,257,259,353,189,298,177,200,6,6
"7",125,284,230,460,203,220,157,176,7,7
"8",103,298,295,423,123,261,214,261,8,8
"9",128,344,362,420,182,223,229,162,9,9
"10",122,241,211,389,170,235,184,199,10,10
"11",103,313,250,422,123,203,179,182,11,11
"12",77,184,159,274,104,157,139,133,12,12
"13",108,226,244,509,96,235,155,198,13,1
"14",110,201,195,438,118,189,124,137,14,2
"15",98,182,216,376,109,143,159,130,15,3
"16",94,162,164,347,96,131,112,129,16,4
"17",114,261,234,358,136,151,148,151,17,5
"18",111,230,202,308,130,138,124,189,18,6
"19",125,250,184,327,100,116,94,119,19,7
"20",152,305,297,303,167,235,128,146,20,8
"21",136,285,340,320,150,198,158,145,21,9
"22",134,321,252,306,152,158,152,138,22,10
"23",174,342,252,257,117,135,113,175,23,11
"24",88,263,252,231,106,134,116,152,24,12
"25",159,313,243,439,144,251,176,170,25,1
"26",156,383,346,416,189,245,138,191,26,2
"27",190,428,445,449,224,197,186,194,27,3
"28",180,296,339,373,176,187,166,176,28,4
"29",167,416,413,394,212,212,192,214,29,5
"30",165,361,237,315,227,198,161,142,30,6
"31",138,300,201,305,173,190,149,144,31,7
"32",138,373,222,305,193,210,212,125,32,8
"33",147,340,237,316,164,212,230,139,33,9
"34",183,316,261,315,173,227,190,173,34,10
"35",163,297,237,265,130,182,174,163,35,11
"36",122,242,131,182,106,90,129,104,36,12
"37",168,350,237,400,173,132,140,117,37,1
"38",136,370,202,319,200,171,155,305,38,2
"39",223,444,223,320,184,175,160,119,39,3
"40",148,400,193,313,159,167,133,123,40,4
"41",340,632,356,308,337,261,252,153,41,5
"42",218,457,228,275,203,179,170,105,42,6
"43",272,504,243,301,238,194,151,103,43,7
"44",334,423,300,349,293,421,261,103,44,8
"45",399,761,317,348,309,315,171,111,45,9
"46",248,447,159,238,176,205,79,77,46,10
"47",218,464,120,206,133,140,58,56,47,11
"48",105,295,126,157,117,81,167,64,48,12
"49",127,285,71,345,120,127,48,77,49,1
"50",137,320,101,239,113,97,69,56,50,2
"51",106,493,106,299,109,116,47,64,51,3
"52",115,306,80,200,119,68,105,48,52,4
"53",122,533,153,217,132,76,82,52,53,5
